Probe ID,Infinium Design Type,Chromosome,Location (hg19),Strand,Gene Symbol,Effect,Std. Error,Z-value,P-value,FDR,Previously Seen,Small Molecule,Proportion of Effect Attenuation (compared to current vs. never smokers),Sign
cg01940273,II,2,"233,284,934",R,,-0.0234,0.0013,-18.04,9.6E-73,1.8E-68,1,0,71.3%,----------------
cg25189904,II,1,"68,299,493",F,GNG12,-0.0283,0.0021,-13.27,3.5E-40,3.3E-36,1,0,63.2%,----------------
cg12803068,II,7,"45,002,919",F,MYO1G,0.0191,0.0017,11.53,9.3E-31,5.8E-27,1,0,69.7%,++++++++++++++++
cg19572487,II,17,"38,476,024",R,RARA,-0.0159,0.0014,-11.46,2.2E-30,1.0E-26,1,0,70.8%,----------------
cg11554391,II,5,"321,320",F,AHRR,-0.0091,0.0008,-11.12,1.0E-28,3.9E-25,1,0,61.2%,-----------+----
cg05951221,II,2,"233,284,402",F,,-0.0396,0.0036,-10.91,1.1E-27,3.2E-24,1,0,59.0%,----------------
cg23771366,II,11,"86,510,998",R,PRSS23,-0.0167,0.0015,-10.90,1.2E-27,3.2E-24,1,0,53.8%,----------------
cg26764244,II,1,"68,299,511",F,GNG12,-0.0119,0.0011,-10.84,2.3E-27,5.4E-24,1,0,62.2%,----?------?----
cg05575921,I,5,"373,378",F,AHRR,-0.0406,0.0038,-10.72,8.2E-27,1.7E-23,1,0,77.5%,----------------
cg11660018,II,11,"86,510,915",F,PRSS23,-0.0157,0.0015,-10.56,4.3E-26,8.1E-23,1,0,59.8%,----------------
cg21566642,I,2,"233,284,661",R,,-0.0434,0.0041,-10.49,1.0E-25,1.7E-22,1,0,65.5%,-----------+----
cg11902777,II,5,"368,843",F,AHRR,-0.0063,0.0006,-10.39,2.8E-25,4.3E-22,1,0,68.5%,-----------+----
cg26850624,I,5,"429,559",R,AHRR,0.0118,0.0011,10.38,3.1E-25,4.4E-22,1,0,45.1%,++++++++++++++++
cg03636183,II,19,"17,000,585",R,F2RL3,-0.0267,0.0026,-10.28,8.9E-25,1.2E-21,1,0,72.0%,----------------
cg15693572,II,3,"22,412,385",R,,0.0190,0.0019,10.00,1.5E-23,1.9E-20,1,0,63.9%,+++++++++++-++++
cg17924476,II,5,"323,794",R,AHRR,0.0148,0.0016,9.19,4.0E-20,4.7E-17,1,0,55.7%,+++++++++++-++++
cg12513616,II,5,"177,370,977",F,,-0.0072,0.0008,-8.99,2.4E-19,2.7E-16,1,0,72.6%,-----------?----
cg07339236,II,20,"50,312,490",R,ATP9A,-0.0062,0.0007,-8.80,1.4E-18,1.4E-15,1,0,73.4%,-------------+--
cg06126421,II,6,"30,720,080",R,,-0.0365,0.0042,-8.71,3.0E-18,3.0E-15,1,0,62.4%,----------------
cg14624207,II,11,"68,142,198",F,LRP5,-0.0070,0.0008,-8.65,5.0E-18,4.7E-15,1,0,67.1%,----------------
cg00706683,II,2,"233,251,030",F,ECEL1P2,0.0101,0.0012,8.54,1.4E-17,1.2E-14,1,0,16.7%,+++++++++++?+-++
cg23351584,II,11,"86,512,100",F,PRSS23,-0.0048,0.0006,-8.35,7.0E-17,6.0E-14,1,0,54.6%,--+-------------
cg02583484,II,12,"54,677,008",F,HNRNPA1;HNRPA1L-2,-0.0062,0.0008,-8.02,1.0E-15,8.5E-13,1,0,76.2%,---+------------
cg05302489,II,6,"31,760,426",F,VARS,0.0079,0.0010,7.91,2.5E-15,2.0E-12,1,0,50.3%,+++++-++++++++++
cg01442064,II,4,"5,713,450",F,EVC,-0.0055,0.0007,-7.88,3.3E-15,2.4E-12,1,0,56.7%,-----------+----
cg06644428,I,2,"233,284,112",R,,-0.0259,0.0033,-7.87,3.6E-15,2.6E-12,1,0,35.4%,----------------
cg21161138,II,5,"399,360",R,AHRR,-0.0087,0.0011,-7.68,1.6E-14,1.1E-11,1,0,83.6%,-----------+----
cg21322436,I,7,"145,812,842",R,CNTNAP2,-0.0105,0.0014,-7.46,8.5E-14,5.6E-11,1,0,66.7%,----------------
cg26361535,II,8,"144,576,604",F,ZC3H3,-0.0093,0.0012,-7.46,8.7E-14,5.6E-11,1,0,75.7%,-----------+----
cg01127300,II,22,"38,614,796",F,,-0.0106,0.0014,-7.45,9.4E-14,5.9E-11,1,0,68.4%,-----------+----
cg19713851,I,2,"233,246,594",F,ALPP,-0.0159,0.0021,-7.41,1.2E-13,7.5E-11,1,0,59.5%,----------------
cg04517079,II,6,"41,546,161",R,FOXP4,-0.0053,0.0007,-7.37,1.7E-13,1.0E-10,1,0,67.6%,----------------
cg13399816,II,1,"68,299,468",F,GNG12,-0.0090,0.0012,-7.36,1.8E-13,1.0E-10,1,0,57.5%,---------------+
cg23219570,II,12,"4,488,893",R,FGF23,0.0050,0.0007,7.34,2.1E-13,1.2E-10,1,0,61.4%,+++++++++++++-++
cg14371731,I,10,"81,003,175",R,ZMIZ1,0.0152,0.0021,7.32,2.5E-13,1.4E-10,1,0,47.6%,+++++++++++?++-+
cg08035323,II,2,"9,843,525",R,,0.0093,0.0013,7.31,2.6E-13,1.4E-10,1,0,70.4%,++++++++++++++++
cg07090714,I,6,"6,857,062",F,,-0.0060,0.0008,-7.24,4.6E-13,2.3E-10,1,0,67.6%,-------------+--
cg25305703,II,8,"128,378,218",F,,-0.0094,0.0013,-7.23,4.9E-13,2.4E-10,1,0,73.1%,----------------
cg21611682,II,11,"68,138,269",F,LRP5,-0.0058,0.0008,-7.22,5.1E-13,2.4E-10,1,0,78.0%,----------------
cg04885881,II,1,"11,123,118",F,,-0.0093,0.0013,-7.22,5.2E-13,2.4E-10,1,0,78.1%,-----------+----
cg17551891,I,7,"1,960,795",R,MAD1L1,-0.0078,0.0011,-7.22,5.3E-13,2.4E-10,1,0,63.6%,--+--------+--+-
cg23576855,II,5,"373,299",R,AHRR,-0.0296,0.0041,-7.20,6.1E-13,2.7E-10,1,0,79.7%,----------------
cg11827514,II,8,"143,125,722",F,,-0.0088,0.0012,-7.19,6.6E-13,2.9E-10,1,0,59.3%,----------------
cg14753356,II,6,"30,720,108",R,,-0.0155,0.0022,-7.14,9.6E-13,4.1E-10,1,0,59.1%,-----------+----
cg06635952,II,2,"70,025,869",F,ANXA4,0.0064,0.0009,7.13,1.0E-12,4.3E-10,1,0,70.0%,+++++-++++++++++
cg07251887,II,17,"73,641,809",R,LOC100130933;RECQL5,-0.0088,0.0012,-7.10,1.3E-12,5.3E-10,1,0,61.8%,--------------+-
cg15342087,II,6,"30,720,209",R,,-0.0063,0.0009,-7.06,1.6E-12,6.5E-10,1,0,79.5%,-----------+----
cg23916896,II,5,"368,804",R,AHRR,-0.0172,0.0024,-7.04,1.9E-12,7.5E-10,1,0,70.8%,----------------
