Probe ID,Infinium Design Type,Chromosome,Location (hg19),Strand,Gene Symbol,Effect,Std. Error,Z-value,P-value,FDR,Previously Seen,Small Molecules,Sign
cg16145216,I,1,"42,385,662",R,HIVEP3,0.0298,0.0020,14.54,6.7E-48,3.3E-42,1,0,+++++++++++-++++
cg19406367,II,1,"66,999,929",R,SGIP1,0.0175,0.0013,13.89,7.0E-44,1.7E-38,1,0,++++++++++++++++
cg05603985,II,1,"2,161,049",F,SKI,-0.0122,0.0009,-13.83,1.8E-43,2.8E-38,1,0,-------------+--
cg14099685,II,11,"47,546,068",R,CUGBP1,-0.0124,0.0009,-13.67,1.5E-42,1.8E-37,1,0,-------------+--
cg12513616,II,5,"177,370,977",F,,-0.0262,0.0020,-13.40,6.1E-41,5.9E-36,1,0,-----------?----
cg03792876,II,16,"73,243",R,,-0.0182,0.0014,-12.86,7.2E-38,5.9E-33,0,0,-----------?----
cg01097768,II,5,"378,854",R,AHRR,-0.0166,0.0013,-12.32,6.8E-35,4.7E-30,1,0,----------------
cg26856289,II,1,"24,307,516",F,SFRS13A,-0.0163,0.0013,-12.30,8.6E-35,5.2E-30,1,0,-----------?----
cg07954423,II,9,"130,741,881",F,FAM102A,-0.0134,0.0011,-12.28,1.2E-34,6.3E-30,1,0,----?------?----
cg01940273,II,2,"233,284,934",R,,-0.0815,0.0067,-12.23,2.0E-34,9.8E-30,1,0,----------------
cg01083131,II,16,"67,877,413",F,THAP11;CENPT,-0.0155,0.0013,-12.19,3.7E-34,1.6E-29,1,0,----------------
cg01017464,II,18,"47,018,095",R,SNORD58A;SNORD58B;RPL17,-0.0172,0.0014,-12.05,1.9E-33,7.6E-29,1,1,----------------
cg06121808,II,2,"113,404,678",F,SLC20A1,-0.0143,0.0012,-11.85,2.1E-32,7.9E-28,1,0,----?------?----
cg10062919,II,17,"38,503,802",F,RARA,-0.0128,0.0011,-11.73,9.2E-32,3.2E-27,1,0,-------+--------
cg20066188,II,22,"37,678,791",F,CYTH4,-0.0252,0.0022,-11.68,1.6E-31,5.2E-27,1,0,----?------?-+--
cg04551776,II,5,"393,366",F,AHRR,-0.0244,0.0021,-11.57,5.8E-31,1.8E-26,1,0,----?------?----
cg11152412,II,15,"74,927,688",F,EDC3,-0.0077,0.0007,-11.48,1.8E-30,5.0E-26,1,0,-----------+----
cg00073090,II,19,"1,265,879",F,,-0.0196,0.0017,-11.40,4.2E-30,1.1E-25,1,0,-----------+----
cg11902777,II,5,"368,843",F,AHRR,-0.0201,0.0018,-11.33,9.1E-30,2.3E-25,1,0,-----------+----
cg25212453,I,17,"1,509,953",F,SLC43A2,-0.0101,0.0009,-11.29,1.4E-29,3.5E-25,1,0,-----------+----
cg04956244,II,17,"38,511,592",F,RARA,0.0122,0.0011,11.29,1.5E-29,3.5E-25,1,0,++++++++++++++++
cg13951797,II,16,"2,204,381",R,TRAF7,-0.0153,0.0014,-11.28,1.6E-29,3.5E-25,1,0,----------------
cg11028075,II,10,"97,200,911",F,SORBS1,0.0175,0.0016,11.28,1.7E-29,3.6E-25,1,0,++++++++++++++-+
cg11700584,II,14,"50,088,544",F,RPL36AL;MGAT2,-0.0151,0.0013,-11.22,3.4E-29,6.8E-25,0,0,----------------
cg11263997,I,11,"70,257,280",F,CTTN,0.0050,0.0005,11.19,4.3E-29,8.4E-25,1,0,+++++++++++-++++
cg08972170,II,7,"30,185,776",R,C7orf41,0.0237,0.0021,11.12,9.8E-29,1.8E-24,1,0,++++++++++++++++
cg09578155,II,11,"68,141,470",R,LRP5,-0.0110,0.0010,-11.11,1.2E-28,2.1E-24,1,0,----------------
cg22417733,II,6,"153,303,409",R,FBXO5,-0.0171,0.0015,-11.08,1.5E-28,2.7E-24,0,0,----------------
cg26764244,II,1,"68,299,511",F,GNG12,-0.0316,0.0029,-11.07,1.8E-28,3.0E-24,1,0,----?------?----
cg26077378,II,3,"21,792,857",F,ZNF385D,-0.0178,0.0016,-11.01,3.6E-28,5.8E-24,1,0,----?------?----
cg05951221,II,2,"233,284,402",F,,-0.0966,0.0090,-10.78,4.3E-27,6.8E-23,1,0,----------------
cg22407942,II,7,"22,894,828",F,SNORD93,-0.0183,0.0017,-10.74,6.8E-27,1.0E-22,1,1,---+?+-----?----
cg23576855,II,5,"373,299",R,AHRR,-0.1458,0.0136,-10.73,7.1E-27,1.0E-22,1,0,-----------+----
cg01442064,II,4,"5,713,450",F,EVC,-0.0128,0.0012,-10.66,1.6E-26,2.3E-22,1,0,-----------+----
cg25197194,II,3,"128,758,787",F,CCDC48,0.0203,0.0019,10.65,1.7E-26,2.4E-22,1,0,++++++++++++++-+
