DATE ADDED TO CATALOG	PUBMEDID	FIRST AUTHOR	DATE	JOURNAL	LINK	STUDY	DISEASE/TRAIT	INITIAL SAMPLE SIZE	REPLICATION SAMPLE SIZE	REGION	CHR_ID	CHR_POS	REPORTED GENE(S)	MAPPED_GENE	UPSTREAM_GENE_ID	DOWNSTREAM_GENE_ID	SNP_GENE_IDS	UPSTREAM_GENE_DISTANCE	DOWNSTREAM_GENE_DISTANCE	STRONGEST SNP-RISK ALLELE	SNPS	MERGED	SNP_ID_CURRENT	CONTEXT	INTERGENIC	RISK ALLELE FREQUENCY	P-VALUE	PVALUE_MLOG	P-VALUE (TEXT)	OR or BETA	95% CI (TEXT)	PLATFORM [SNPS PASSING QC]	CNV
2009-04-01	19247474	Caporaso N	2009-02-27	PLoS One	www.ncbi.nlm.nih.gov/pubmed/19247474	Genome-wide and candidate gene association study of cigarette smoking behaviors.	Smoking behavior	2,617 European ancestry smokers, 1,725 European ancestry controls	NA	14q24.1	14	68941980	ACTN1	ACTN1			87			rs2268983-?	rs2268983	0	2268983	intron_variant	0	0.51	7E-6	5.154901959985743	(CPDBI)	1.52	[NR]	Illumina [~ 518000]	N
2015-06-23	25189868	Sung YJ	2014-09-03	Am J Hypertens	www.ncbi.nlm.nih.gov/pubmed/25189868	Gene-Smoking Interactions Identify Several Novel Blood Pressure Loci in the Framingham Heart Study.	Blood pressure (smoking interaction)	Up to 6,889 individuals	NA	7p12.1	7	51797912	intergenic	LOC105375278 - LOC107986738	105375278	107986738		80244	218801	rs4947642-?	rs4947642	0	4947642	intergenic_variant	1	NR	1E-6	6.0	(SBP,Smoking)			Affymetrix [2485435] (imputed)	N
2015-06-23	25189868	Sung YJ	2014-09-03	Am J Hypertens	www.ncbi.nlm.nih.gov/pubmed/25189868	Gene-Smoking Interactions Identify Several Novel Blood Pressure Loci in the Framingham Heart Study.	Blood pressure (smoking interaction)	Up to 6,889 individuals	NA	14q31.1	14	79944098	NRXN3, LOC730007	LOC107984630			107984630			rs8010717-?	rs8010717	0	8010717	intron_variant	0	NR	1E-7	7.0	(SBP,Smoking)			Affymetrix [2485435] (imputed)	N
2010-09-24	20811658	Uhl GR	2010-08-24	Mol Med	www.ncbi.nlm.nih.gov/pubmed/20811658	Genome-wide association for smoking cessation success in a trial of precessation nicotine replacement.	Smoking cessation	369 European ancestry individuals	NA	14q24.2	14	72417166	RGS6	LOC105370559, RGS6			105370559, 9628			rs7159300-?	rs7159300	0	7159300	intron_variant	0	NR	4E-6	5.3979400086720375				Affymetrix [905273]	N
2012-12-21	23049750	Kumasaka N	2012-09-25	PLoS One	www.ncbi.nlm.nih.gov/pubmed/23049750	Haplotypes with copy number and single nucleotide polymorphisms in CYP2A6 locus are associated with smoking quantity in a Japanese population.	Smoking behavior	11,696 Japanese ancestry smokers	5,462 Japanese ancestry smokers	19q13.2	19	40857860	CYP2A6	CYP2A6 - CYP2A7	1548	1549		7413	17579	rs8102683-?	rs8102683	0	8102683	intron_variant	1	NR	4E-42	41.39794000867204		2.76	[2.36-3.16] unit increase	Illumina [2312503] (imputed)	N
2012-12-21	23049750	Kumasaka N	2012-09-25	PLoS One	www.ncbi.nlm.nih.gov/pubmed/23049750	Haplotypes with copy number and single nucleotide polymorphisms in CYP2A6 locus are associated with smoking quantity in a Japanese population.	Smoking behavior	11,696 Japanese ancestry smokers	5,462 Japanese ancestry smokers	7q31.31	7	118519495	NR	LOC105375473			105375473			rs2106595-G	rs2106595	0	2106595	intergenic_variant	0	NR	5E-6	5.301029995663981		0.88	[0.51-1.25] unit increase	Illumina [2312503] (imputed)	N
2012-12-21	23049750	Kumasaka N	2012-09-25	PLoS One	www.ncbi.nlm.nih.gov/pubmed/23049750	Haplotypes with copy number and single nucleotide polymorphisms in CYP2A6 locus are associated with smoking quantity in a Japanese population.	Smoking behavior	11,696 Japanese ancestry smokers	5,462 Japanese ancestry smokers	19q13.2	19	40848628	NR	CYP2A6			1548			rs1801272-T	rs1801272	0	1801272	missense_variant	0	0.012	5E-6	5.301029995663981		9.4	[5.48-13.32] unit decrease	Illumina [2312503] (imputed)	N
2009-04-01	19247474	Caporaso N	2009-02-27	PLoS One	www.ncbi.nlm.nih.gov/pubmed/19247474	Genome-wide and candidate gene association study of cigarette smoking behaviors.	Smoking behavior	2,617 European ancestry smokers, 1,725 European ancestry controls	NA	3q13.12	3	107746970	BBX	BBX			56987			rs6437740-?	rs6437740	0	6437740	intron_variant	0	0.24	2E-7	6.698970004336019	(CPD)	0.1	[NR] cigarettes per day decrease	Illumina [~ 518000]	N
2009-04-01	19247474	Caporaso N	2009-02-27	PLoS One	www.ncbi.nlm.nih.gov/pubmed/19247474	Genome-wide and candidate gene association study of cigarette smoking behaviors.	Smoking behavior	2,617 European ancestry smokers, 1,725 European ancestry controls	NA	1p35.2	1	30094749	intergenic	LOC101929406 - LOC105378617	101929406	105378617		57137	68224	rs910696-?	rs910696	0	910696	intergenic_variant	1	0.31	3E-6	5.522878745280337	(CPD)	0.08	[NR] cigarettes per day increase	Illumina [~ 518000]	N
2009-04-01	19247474	Caporaso N	2009-02-27	PLoS One	www.ncbi.nlm.nih.gov/pubmed/19247474	Genome-wide and candidate gene association study of cigarette smoking behaviors.	Smoking behavior	2,617 European ancestry smokers, 1,725 European ancestry controls	NA	Xq23	X	111912005	TRPC5	TRPC5			7224			rs7050529-?	rs7050529	0	7050529	intron_variant	0	0.07	6E-6	5.221848749616356	(CPD)	0.06	[NR] cigarettes per day decrease	Illumina [~ 518000]	N
2009-04-01	19247474	Caporaso N	2009-02-27	PLoS One	www.ncbi.nlm.nih.gov/pubmed/19247474	Genome-wide and candidate gene association study of cigarette smoking behaviors.	Smoking behavior	2,617 European ancestry smokers, 1,725 European ancestry controls	NA	13q33.1	13	103214754	intergenic	SLC10A2 - LOC105370338	6555	105370338		147908	76215	rs912969-?	rs912969	0	912969	intergenic_variant	1	0.07	8E-6	5.096910013008056	(SMKDU)	0.14	[NR] years decrease	Illumina [~ 518000]	N
2009-04-01	19247474	Caporaso N	2009-02-27	PLoS One	www.ncbi.nlm.nih.gov/pubmed/19247474	Genome-wide and candidate gene association study of cigarette smoking behaviors.	Smoking behavior	2,617 European ancestry smokers, 1,725 European ancestry controls	NA	4q31.1	4	139501980	SET7	SETD7			80854			rs17050782-?	rs17050782	0	17050782	intron_variant	0	0.21	8E-6	5.096910013008056	(SMKAGE)	0.03	[NR] years increase	Illumina [~ 518000]	N
2009-04-01	19247474	Caporaso N	2009-02-27	PLoS One	www.ncbi.nlm.nih.gov/pubmed/19247474	Genome-wide and candidate gene association study of cigarette smoking behaviors.	Smoking behavior	2,617 European ancestry smokers, 1,725 European ancestry controls	NA	7p15.2	7	26517999	intergenic	LOC441204 - KIAA0087	441204	9808		21632	15122	rs886716-?	rs886716	0	886716	intergenic_variant	1	0.69	8E-6	5.096910013008056	(CPDBI)	1.52	[NR]	Illumina [~ 518000]	N
2009-04-01	19247474	Caporaso N	2009-02-27	PLoS One	www.ncbi.nlm.nih.gov/pubmed/19247474	Genome-wide and candidate gene association study of cigarette smoking behaviors.	Smoking behavior	2,617 European ancestry smokers, 1,725 European ancestry controls	NA	Xp11.3	X	43747786	MAOA	MAOA - MAOB	4128	4129		962	18824	rs3027409-?	rs3027409	0	3027409	downstream_gene_variant	1	0.95	7E-6	5.154901959985743	(CPDBI)	1.73	[NR]	Illumina [~ 518000]	N
